Tour;Année_élection;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;VILLIERS DE PHILIPPE;JEAN-MARIE LE PEN;JACQUES CHIRAC;ARLETTE LAGUILLER;JACQUES CHEMINADE;LIONEL JOSPIN;DOMINIQUE VOYNET;EDOUARD BALLADUR;ROBERT HUE
2;1995;93;SEINE SAINT-DENIS;8;8ème circonscription;59194;13514;22,83;45680;77,17;2735;4,62;5,99;42945;72,55;94,01;58,47;41,53;;;;;;;
2;1995;93;SEINE SAINT-DENIS;9;9ème circonscription;55685;15381;27,62;40304;72,38;2849;5,12;7,07;37455;67,26;92,93;44,9;55,1;;;;;;;
2;1995;93;SEINE SAINT-DENIS;10;10ème circonscription;47870;10813;22,59;37057;77,41;2279;4,76;6,15;34778;72,65;93,85;53,41;46,59;;;;;;;
2;1995;93;SEINE SAINT-DENIS;11;11ème circonscription;54716;12739;23,28;41977;76,72;3159;5,77;7,53;38818;70,94;92,47;48,03;51,97;;;;;;;
2;1995;93;SEINE SAINT-DENIS;12;12ème circonscription;57743;12176;21,09;45567;78,91;3179;5,51;6,98;42388;73,41;93,02;57,8;42,2;;;;;;;
2;1995;93;SEINE SAINT-DENIS;13;13ème circonscription;59908;13040;21,77;46868;78,23;2638;4,4;5,63;44230;73,83;94,37;52,12;47,88;;;;;;;
2;1995;94;VAL DE MARNE;1;1ère circonscription;52174;10010;19,19;42164;80,81;1929;3,7;4,57;40235;77,12;95,43;61,86;38,14;;;;;;;
2;1995;94;VAL DE MARNE;2;2ème circonscription;60113;13611;22,64;46502;77,36;2583;4,3;5,55;43919;73,06;94,45;44,6;55,4;;;;;;;
2;1995;94;VAL DE MARNE;3;3ème circonscription;65072;13549;20,82;51523;79,18;3116;4,79;6,05;48407;74,39;93,95;52,59;47,41;;;;;;;
2;1995;94;VAL DE MARNE;4;4ème circonscription;62658;11305;18,04;51353;81,96;2797;4,46;5,45;48556;77,49;94,55;58,55;41,45;;;;;;;
2;1995;94;VAL DE MARNE;5;5ème circonscription;56516;12237;21,65;44279;78,35;2536;4,49;5,73;41743;73,86;94,27;56,14;43,86;;;;;;;
2;1995;94;VAL DE MARNE;6;6ème circonscription;71631;16363;22,84;55268;77,16;2673;3,73;4,84;52595;73,42;95,16;59,03;40,97;;;;;;;
2;1995;94;VAL DE MARNE;7;7ème circonscription;53742;10728;19,96;43014;80,04;2142;3,99;4,98;40872;76,05;95,02;61,97;38,03;;;;;;;
2;1995;94;VAL DE MARNE;8;8ème circonscription;54301;11557;21,28;42744;78,72;2195;4,04;5,14;40549;74,67;94,86;58,56;41,44;;;;;;;
2;1995;94;VAL DE MARNE;9;9ème circonscription;46377;10717;23,11;35660;76,89;2310;4,98;6,48;33350;71,91;93,52;42,59;57,41;;;;;;;
2;1995;94;VAL DE MARNE;10;10ème circonscription;56002;13990;24,98;42012;75,02;2882;5,15;6,86;39130;69,87;93,14;41,5;58,5;;;;;;;
2;1995;94;VAL DE MARNE;11;11ème circonscription;53795;12956;24,08;40839;75,92;2602;4,84;6,37;38237;71,08;93,63;42,4;57,6;;;;;;;
2;1995;94;VAL DE MARNE;12;12ème circonscription;60026;12655;21,08;47371;78,92;2527;4,21;5,33;44844;74,71;94,67;51,19;48,81;;;;;;;
2;1995;95;VAL D'OISE;1;1ère circonscription;69614;13183;18,94;56431;81,06;3720;5,34;6,59;52711;75,72;93,41;54,95;45,05;;;;;;;
2;1995;95;VAL D'OISE;2;2ème circonscription;93207;17617;18,9;75590;81,1;4482;4,81;5,93;71108;76,29;94,07;52,59;47,41;;;;;;;
2;1995;95;VAL D'OISE;3;3ème circonscription;73861;15285;20,69;58576;79,31;3711;5,02;6,34;54865;74,28;93,66;55,5;44,5;;;;;;;
2;1995;95;VAL D'OISE;4;4ème circonscription;69798;15261;21,86;54537;78,14;3097;4,44;5,68;51440;73,7;94,32;57,14;42,86;;;;;;;
2;1995;95;VAL D'OISE;5;5ème circonscription;60434;14854;24,58;45580;75,42;3314;5,48;7,27;42266;69,94;92,73;44,25;55,75;;;;;;;
2;1995;95;VAL D'OISE;6;6ème circonscription;66514;14516;21,82;51998;78,18;2832;4,26;5,45;49166;73,92;94,55;59,24;40,76;;;;;;;
2;1995;95;VAL D'OISE;7;7ème circonscription;74320;14992;20,17;59328;79,83;3199;4,3;5,39;56129;75,52;94,61;56,38;43,62;;;;;;;
2;1995;95;VAL D'OISE;8;8ème circonscription;46996;11147;23,72;35849;76,28;2103;4,47;5,87;33746;71,81;94,13;48,51;51,49;;;;;;;
2;1995;95;VAL D'OISE;9;9ème circonscription;56952;11859;20,82;45093;79,18;3150;5,53;6,99;41943;73,65;93,01;51,94;48,06;;;;;;;
2;1995;ZA;GUADELOUPE;1;1ère circonscription;59759;32891;55,04;26868;44,96;1615;2,7;6,01;25253;42,26;93,99;35;65;;;;;;;
2;1995;ZA;GUADELOUPE;2;2ème circonscription;73358;43128;58,79;30230;41,21;1775;2,42;5,87;28455;38,79;94,13;42,22;57,78;;;;;;;
2;1995;ZA;GUADELOUPE;3;3ème circonscription;62192;34099;54,83;28093;45,17;1332;2,14;4,74;26761;43,03;95,26;41,15;58,85;;;;;;;
2;1995;ZA;GUADELOUPE;4;4ème circonscription;59848;30704;51,3;29144;48,7;1416;2,37;4,86;27728;46,33;95,14;60,29;39,71;;;;;;;
2;1995;ZB;MARTINIQUE;1;1ère circonscription;54649;26076;47,72;28573;52,28;1752;3,21;6,13;26821;49,08;93,87;43,31;56,69;;;;;;;
2;1995;ZB;MARTINIQUE;2;2ème circonscription;56953;27582;48,43;29371;51,57;1691;2,97;5,76;27680;48,6;94,24;47,59;52,41;;;;;;;
2;1995;ZB;MARTINIQUE;3;3ème circonscription;52864;27811;52,61;25053;47,39;1807;3,42;7,21;23246;43,97;92,79;30,5;69,5;;;;;;;
2;1995;ZB;MARTINIQUE;4;4ème circonscription;85802;46192;53,84;39610;46,16;2397;2,79;6,05;37213;43,37;93,95;41,17;58,83;;;;;;;
2;1995;ZC;GUYANE;1;1ère circonscription;17060;9084;53,25;7976;46,75;474;2,78;5,94;7502;43,97;94,06;48,83;51,17;;;;;;;
2;1995;ZC;GUYANE;2;2ème circonscription;25393;12968;51,07;12425;48,93;555;2,19;4,47;11870;46,75;95,53;62,87;37,13;;;;;;;
2;1995;ZD;LA REUNION;1;1ère circonscription;71162;22365;31,43;48797;68,57;1519;2,13;3,11;47278;66,44;96,89;47,52;52,48;;;;;;;
2;1995;ZD;LA REUNION;2;2ème circonscription;73433;19038;25,93;54395;74,07;2592;3,53;4,77;51803;70,54;95,23;42,35;57,65;;;;;;;
2;1995;ZD;LA REUNION;3;3ème circonscription;87164;18976;21,77;68188;78,23;2213;2,54;3,25;65975;75,69;96,75;47,36;52,64;;;;;;;
2;1995;ZD;LA REUNION;4;4ème circonscription;62760;12871;20,51;49889;79,49;1744;2,78;3,5;48145;76,71;96,5;40,45;59,55;;;;;;;
2;1995;ZD;LA REUNION;5;5ème circonscription;71912;18816;26,17;53096;73,83;1441;2;2,71;51655;71,83;97,29;41,47;58,53;;;;;;;
